Data,Valor,21,62,125,252
2018-02-26,84985,56,64,64,66
2018-02-27,86371,57,67,65,68
2018-02-28,86900,51,61,63,68
2018-03-01,86384,50,61,61,64
2018-03-02,86051,50,60,63,65
2018-03-05,84928,47,59,59,65
2018-03-06,84886,44,54,58,64
2018-03-07,83913,40,55,56,63
2018-03-08,84164,42,53,57,65
2018-03-09,84977,51,55,58,66
2018-03-12,84768,51,59,61,66
2018-03-13,84377,51,58,60,66
2018-03-14,85088,40,54,58,65
2018-03-15,83808,36,51,58,65
2018-03-16,83874,42,54,59,65
2018-03-19,85366,31,48,56,63
2018-03-20,84666,29,46,54,63
2018-03-21,84623,29,45,54,61
2018-03-22,84360,38,47,56,61
2018-03-23,85210,36,46,54,60
2018-03-26,84820,34,45,54,60
2018-03-27,83307,33,44,54,61
2018-03-28,84510,33,42,51,60
2018-03-29,85246,42,44,53,62
2018-04-02,85444,35,41,50,57
2018-04-03,84334,30,39,50,58
2018-04-04,82862,32,38,48,58
2018-04-05,84086,45,44,51,57
2018-04-06,85776,41,41,51,60
2018-04-09,85824,33,36,50,55
2018-04-10,85550,38,39,50,56
2018-04-11,85602,36,37,50,55
2018-04-12,85469,40,38,48,56
2018-04-13,85044,38,35,49,56
2018-04-16,86383,33,31,46,55
2018-04-17,86445,36,37,47,58
2018-04-18,86115,42,40,48,58
2018-04-19,84547,39,36,48,54
2018-04-20,83288,39,36,47,53
2018-04-23,83118,42,33,45,53
2018-04-24,82714,40,33,47,53
2018-04-25,82956,40,32,47,52
2018-04-26,84265,44,35,50,55
2018-04-27,85861,47,37,50,56
2018-04-30,85220,45,37,46,54
2018-05-02,85232,33,32,42,50
2018-05-03,85130,26,28,39,51
2018-05-04,86537,27,26,36,47
2018-05-07,83622,25,23,35,45
2018-05-08,83082,27,27,34,46
2018-05-09,81815,34,28,39,47
2018-05-10,82739,35,30,39,48
2018-05-11,80867,36,31,35,46
2018-05-14,80122,29,29,35,44
2018-05-15,78898,23,23,32,39
2018-05-16,75356,25,25,33,44
2018-05-17,76072,22,22,29,36
2018-05-18,76754,22,22,30,37
2018-05-21,77240,23,25,29,38
2018-05-22,78596,25,24,30,40
2018-05-23,76642,21,23,28,34
2018-05-24,76117,21,20,26,34
2018-05-25,73851,18,19,25,32
2018-05-28,72942,11,14,16,28
2018-05-29,72308,11,11,16,29
2018-05-30,72754,15,15,19,29
2018-06-01,72122,21,17,20,31
2018-06-04,71421,24,18,23,32
2018-06-05,70758,20,17,19,30
2018-06-06,69815,20,15,18,29
2018-06-07,71394,14,14,15,28
2018-06-08,72123,12,15,15,24
2018-06-11,70075,15,15,15,26
2018-06-12,70641,17,15,15,25
2018-06-13,70953,22,15,15,25
2018-06-14,71405,19,15,15,25
2018-06-15,70609,21,15,14,23
2018-06-18,71767,25,16,15,22
2018-06-19,72763,27,15,15,24
2018-06-20,72840,31,16,15,25
2018-06-21,73668,29,16,14,21
2018-06-22,74743,32,16,14,22
2018-06-25,74553,31,17,15,23
2018-06-26,75010,38,17,15,24
2018-06-27,74862,34,17,15,24
2018-06-28,74399,41,16,16,25
2018-06-29,75856,45,20,18,26
2018-07-02,76594,44,21,18,27
2018-07-03,76653,55,22,18,26
2018-07-04,78130,63,22,18,27
2018-07-05,77363,61,21,18,26
2018-07-06,77487,65,28,20,28
2018-07-10,78571,68,32,22,29
2018-07-11,77996,64,29,19,27
2018-07-12,79155,67,34,21,31
2018-07-13,80218,67,37,25,32
2018-07-16,79405,69,36,25,31
2018-07-17,79866,70,42,26,34
2018-07-18,80276,64,40,24,33
2018-07-19,79220,69,44,25,32
2018-07-20,79302,71,54,26,35
2018-07-23,79637,72,51,25,34
2018-07-24,81435,75,55,26,35
2018-07-25,81051,73,63,28,36
2018-07-26,80347,65,56,26,35
2018-07-27,79152,62,55,26,33
2018-07-30,78768,56,50,24,31
2018-07-31,76514,47,47,23,29
2018-08-01,77496,54,51,23,29
2018-08-02,78602,51,51,26,31
2018-08-03,77078,57,57,28,33
2018-08-06,76819,55,54,25,33
2018-08-07,76029,48,57,25,31
2018-08-08,76328,38,54,26,32
2018-08-09,75180,33,51,25,31
2018-08-10,76902,24,40,22,27
2018-08-13,75634,28,42,25,27
2018-08-14,76262,39,54,24,28
2018-08-15,77930,30,50,21,25
2018-08-16,77473,30,45,23,28
2018-08-17,78389,24,40,22,25
2018-08-20,76404,28,45,20,26
2018-08-21,76678,20,37,19,24
2018-08-22,76193,27,40,21,24
2018-08-23,74712,23,31,18,23
2018-08-24,75092,22,30,19,24
2018-08-27,76416,31,38,21,25
2018-08-28,76436,28,36,20,25
2018-08-29,74657,34,40,21,26
2018-08-30,75125,29,30,21,24
2018-08-31,74687,30,34,22,25
2018-09-03,75429,32,31,22,25
2018-09-04,76789,34,30,22,25
2018-09-05,78314,31,31,22,26
2018-09-06,78169,37,33,22,25
2018-09-10,78116,37,33,24,26
2018-09-11,79444,27,26,21,25
2018-09-12,77984,25,24,22,24
2018-09-13,78630,27,25,22,23
2018-09-14,78656,29,27,23,24
