2018-07-25,74,63,28,36
2018-07-26,66,56,26,35
2018-07-27,62,56,26,34
2018-07-30,56,50,25,31
2018-07-31,47,47,23,29
2018-08-01,55,52,24,30
2018-08-02,51,51,26,32
2018-08-03,58,58,28,34
2018-08-06,55,54,26,34
2018-08-07,49,58,25,32
2018-08-08,38,54,26,32
2018-08-09,34,51,26,32
2018-08-10,24,41,23,28
2018-08-13,28,42,26,27
2018-08-14,39,54,24,29
2018-08-15,31,50,22,26
2018-08-16,31,45,24,29
2018-08-17,25,41,23,26
2018-08-20,28,45,20,27
2018-08-21,21,38,19,24
2018-08-22,27,41,22,24
2018-08-23,23,32,19,24
2018-08-24,23,30,20,24
2018-08-27,32,38,22,25
2018-08-28,28,36,21,26
2018-08-29,34,41,22,27
2018-08-30,29,30,21,24
2018-08-31,31,34,22,25
2018-09-03,32,32,22,25
2018-09-04,34,30,22,25
2018-09-05,32,32,22,26
2018-09-06,37,34,22,26
2018-09-10,38,34,24,26
2018-09-11,28,26,22,25
2018-09-12,26,25,22,25
2018-09-13,28,25,23,24
2018-09-14,30,27,23,24
2018-09-17,37,32,26,24
2018-09-18,41,32,26,24
2018-09-19,43,35,26,26
2018-09-20,45,36,28,28
2018-09-21,52,41,29,28
2018-09-24,43,32,27,26
2018-09-25,46,36,30,27
2018-09-26,47,38,31,28
2018-09-27,52,43,34,28
2018-09-28,49,39,33,28
2018-10-01,43,35,31,28
2018-10-02,61,49,39,33
2018-10-03,71,58,49,36
2018-10-04,72,58,46,36
2018-10-05,70,57,49,37
2018-10-08,74,62,56,43
2018-10-09,77,66,58,44
2018-10-10,73,61,54,41
2018-10-11,71,59,55,39
2018-10-15,68,60,55,39
2018-10-16,71,65,58,43
2018-10-17,75,66,62,44
2018-10-18,74,65,62,43
2018-10-19,73,69,63,46
2018-10-22,77,74,68,49
2018-10-23,79,75,73,51
2018-10-24,74,72,68,48
2018-10-25,71,73,69,51
2018-10-26,68,70,67,49
2018-10-29,62,67,63,48
2018-10-30,66,72,69,53
2018-10-31,73,74,69,51
2018-11-01,79,79,71,54
2018-11-05,79,81,73,55
2018-11-06,77,78,74,56
2018-11-07,73,79,74,54
2018-11-08,61,76,72,52
2018-11-09,60,74,73,51
2018-11-12,58,74,71,52
2018-11-13,56,74,71,52
2018-11-14,58,74,70,54
2018-11-16,67,78,74,56
2018-11-19,61,75,73,55
2018-11-21,61,76,75,56
2018-11-22,64,74,73,55
2018-11-23,61,74,72,56
2018-11-26,54,72,68,54
2018-11-27,57,73,72,55
2018-11-28,58,72,71,58
2018-11-29,60,74,72,58
2018-11-30,60,75,71,58
2018-12-03,63,75,74,59
2018-12-04,57,71,72,57
2018-12-05,60,73,72,59
2018-12-06,59,73,72,59
2018-12-07,60,72,69,57
2018-12-10,47,67,70,55
2018-12-11,49,65,67,55
2018-12-12,51,65,70,58
2018-12-13,55,67,70,55
2018-12-14,58,67,70,54
2018-12-17,54,68,70,55
2018-12-18,57,68,71,55
2018-12-19,56,66,72,56
2018-12-20,56,67,70,55
2018-12-21,55,66,69,57
2018-12-26,53,67,70,55
2018-12-27,53,66,70,54
2018-12-28,64,68,71,59
2019-01-02,78,74,75,65
2019-01-03,77,74,74,65
2019-01-04,77,75,76,65
2019-01-07,77,77,75,64
2019-01-08,77,78,76,64
2019-01-09,78,78,76,68
2019-01-10,78,81,76,69
2019-01-11,83,81,78,69
2019-01-14,83,84,78,68
2019-01-15,81,82,78,68
2019-01-16,79,84,79,68
2019-01-17,80,84,81,69
2019-01-18,79,83,80,70
2019-01-21,78,81,83,72
2019-01-22,75,80,79,68
2019-01-23,74,82,79,70
2019-01-24,74,82,80,70
2019-01-28,71,82,79,70
2019-01-29,72,82,80,70
2019-01-30,72,81,80,71
2019-01-31,68,80,80,71
2019-02-01,68,82,81,73
2019-02-04,67,81,83,73
2019-02-05,67,80,83,72
2019-02-06,54,79,80,70
2019-02-07,46,74,79,70
2019-02-08,44,77,79,70
2019-02-11,39,74,78,70
2019-02-12,40,75,79,69
2019-02-13,39,74,81,69
2019-02-14,48,77,80,70
2019-02-15,43,73,80,71
2019-02-18,42,72,80,71
2019-02-19,42,72,79,70
2019-02-20,34,67,78,70
2019-02-21,39,66,79,70
2019-02-22,47,71,81,72
2019-02-25,44,70,80,72
2019-02-26,45,70,78,70
2019-02-27,43,71,79,71
2019-02-28,37,68,78,71
2019-03-01,37,67,78,71
2019-03-06,35,62,75,70
2019-03-07,33,54,75,69
2019-03-08,37,60,76,71
2019-03-11,52,63,76,70
2019-03-12,48,63,75,70
2019-03-13,49,64,77,71
2019-03-14,46,57,71,69
2019-03-15,51,63,76,73
2019-03-18,53,65,77,73
2019-03-19,50,64,77,74
2019-03-20,48,60,78,73
2019-03-21,42,56,73,72
2019-03-22,29,45,70,70
2019-03-25,30,48,68,70
2019-03-26,37,50,70,72
2019-03-27,19,33,58,65
2019-03-28,26,39,64,68
2019-03-29,30,41,64,69
2019-04-01,35,42,65,70
2019-04-02,36,38,63,69
2019-04-03,33,39,62,68
2019-04-04,38,40,61,69
2019-04-05,42,41,64,70
2019-04-08,38,40,61,69
2019-04-09,33,36,60,69
2019-04-10,33,36,57,68
2019-04-11,33,31,56,68
2019-04-12,25,30,56,66
